Sample_ID,Diagnosis,Gene,Expression
1,AML,Gene_149,0.051015
1,AML,Gene_187,0.817974
1,AML,Gene_244,0.369471
1,AML,Gene_285,0.578308
1,AML,Gene_354,0.162146
1,AML,Gene_366,0.386154
1,AML,Gene_367,0.962525
1,AML,Gene_482,0.697871
1,AML,Gene_521,0.594408
1,AML,Gene_588,0.127648
1,AML,Gene_607,0.206867
1,AML,Gene_646,0.891314
1,AML,Gene_650,0.498601
1,AML,Gene_781,0.694392
1,AML,Gene_816,0.519039
1,AML,Gene_818,0.398787
1,AML,Gene_84,0.06325
1,AML,Gene_850,0.594591
1,AML,Gene_916,0.434842
1,AML,Gene_969,0.566506
2,ALL,Gene_149,0.850634
2,ALL,Gene_187,0.688124
2,ALL,Gene_244,0.844734
2,ALL,Gene_285,0.326266
2,ALL,Gene_354,0.726882
2,ALL,Gene_366,0.131112
2,ALL,Gene_367,0.716601
2,ALL,Gene_482,0.12046
2,ALL,Gene_521,0.059539
2,ALL,Gene_588,0.403542
2,ALL,Gene_607,0.067271
2,ALL,Gene_646,0.755631
2,ALL,Gene_650,0.709023
2,ALL,Gene_781,0.037757
2,ALL,Gene_816,0.969166
2,ALL,Gene_818,0.769398
2,ALL,Gene_84,0.879256
2,ALL,Gene_850,0.645325
2,ALL,Gene_916,0.721641
2,ALL,Gene_969,0.333984
3,ALL,Gene_149,0.494035
3,ALL,Gene_187,0.872171
3,ALL,Gene_244,0.995591
3,ALL,Gene_285,0.139663
3,ALL,Gene_354,0.87596
3,ALL,Gene_366,0.043109
3,ALL,Gene_367,0.122429
3,ALL,Gene_482,0.879803
3,ALL,Gene_521,0.692996
3,ALL,Gene_588,0.682299
3,ALL,Gene_607,0.046379
3,ALL,Gene_646,0.359168
3,ALL,Gene_650,0.457836
3,ALL,Gene_781,0.049329
3,ALL,Gene_816,0.77245
3,ALL,Gene_818,0.011479
3,ALL,Gene_84,0.909375
3,ALL,Gene_850,0.356334
3,ALL,Gene_916,0.662441
3,ALL,Gene_969,0.948223
4,AML,Gene_149,0.787399
4,AML,Gene_187,0.355808
4,AML,Gene_244,0.696181
4,AML,Gene_285,0.466239
4,AML,Gene_354,0.507748
4,AML,Gene_366,0.636924
4,AML,Gene_367,0.324397
4,AML,Gene_482,0.574329
4,AML,Gene_521,0.228956
4,AML,Gene_588,0.762261
4,AML,Gene_607,0.830153
4,AML,Gene_646,0.152963
4,AML,Gene_650,1.0
4,AML,Gene_781,0.399463
4,AML,Gene_816,0.577978
4,AML,Gene_818,0.823785
4,AML,Gene_84,0.587564
4,AML,Gene_850,0.06443
4,AML,Gene_916,0.393749
4,AML,Gene_969,0.588513
5,Healthy,Gene_149,0.728913
5,Healthy,Gene_187,0.12634
5,Healthy,Gene_244,0.453609
5,Healthy,Gene_285,0.552371
5,Healthy,Gene_354,0.960569
5,Healthy,Gene_366,0.667132
5,Healthy,Gene_367,0.079434
5,Healthy,Gene_482,0.473134
5,Healthy,Gene_521,0.862447
5,Healthy,Gene_588,0.129488
5,Healthy,Gene_607,0.850695
5,Healthy,Gene_646,0.742297
5,Healthy,Gene_650,0.168831
5,Healthy,Gene_781,0.067568
5,Healthy,Gene_816,0.93602
5,Healthy,Gene_818,0.819853
5,Healthy,Gene_84,0.747144
5,Healthy,Gene_850,0.104908
5,Healthy,Gene_916,0.91664
5,Healthy,Gene_969,0.958294
6,AML,Gene_149,0.623411
6,AML,Gene_187,0.67681
6,AML,Gene_244,0.909969
6,AML,Gene_285,0.460279
6,AML,Gene_354,0.539042
6,AML,Gene_366,0.99154
6,AML,Gene_367,0.61188
6,AML,Gene_482,0.294732
6,AML,Gene_521,0.835055
6,AML,Gene_588,0.468355
6,AML,Gene_607,0.874416
6,AML,Gene_646,0.27306
6,AML,Gene_650,0.580962
6,AML,Gene_781,0.652654
6,AML,Gene_816,0.05569
6,AML,Gene_818,0.580745
6,AML,Gene_84,0.239608
6,AML,Gene_850,0.504704
6,AML,Gene_916,0.081877
6,AML,Gene_969,0.937597
7,AML,Gene_149,0.624998
7,AML,Gene_187,0.788671
7,AML,Gene_244,0.74032
7,AML,Gene_285,0.207211
7,AML,Gene_354,0.570185
7,AML,Gene_366,0.582587
7,AML,Gene_367,0.356729
7,AML,Gene_482,0.483922
7,AML,Gene_521,0.225248
7,AML,Gene_588,0.047785
7,AML,Gene_607,0.129111
7,AML,Gene_646,0.409875
7,AML,Gene_650,0.859343
7,AML,Gene_781,0.354883
7,AML,Gene_816,0.130128
7,AML,Gene_818,0.932851
7,AML,Gene_84,0.258025
7,AML,Gene_850,0.067735
7,AML,Gene_916,0.170686
7,AML,Gene_969,0.660826
8,ALL,Gene_149,0.442829
8,ALL,Gene_187,0.592427
8,ALL,Gene_244,0.531463
8,ALL,Gene_285,0.207523
8,ALL,Gene_354,0.54531
8,ALL,Gene_366,0.373233
8,ALL,Gene_367,0.493517
8,ALL,Gene_482,0.138555
8,ALL,Gene_521,0.369237
8,ALL,Gene_588,0.730441
8,ALL,Gene_607,0.188321
8,ALL,Gene_646,0.689296
8,ALL,Gene_650,0.59202
8,ALL,Gene_781,0.455541
8,ALL,Gene_816,0.51614
8,ALL,Gene_818,0.940893
8,ALL,Gene_84,0.484106
8,ALL,Gene_850,0.009284
8,ALL,Gene_916,0.242944
8,ALL,Gene_969,0.420041
9,ALL,Gene_149,0.320646
9,ALL,Gene_187,0.239458
9,ALL,Gene_244,0.411116
9,ALL,Gene_285,0.587832
9,ALL,Gene_354,0.549266
9,ALL,Gene_366,0.764414
9,ALL,Gene_367,0.447497
9,ALL,Gene_482,0.248599
9,ALL,Gene_521,0.452334
9,ALL,Gene_588,0.762614
9,ALL,Gene_607,0.691035
9,ALL,Gene_646,0.448546
9,ALL,Gene_650,0.213735
9,ALL,Gene_781,0.14259
9,ALL,Gene_816,0.709984
9,ALL,Gene_818,0.356982
9,ALL,Gene_84,0.105228
9,ALL,Gene_850,0.040716
9,ALL,Gene_916,0.48175
9,ALL,Gene_969,0.571454
10,Healthy,Gene_149,0.408964
10,Healthy,Gene_187,0.72887
10,Healthy,Gene_244,0.703697
10,Healthy,Gene_285,0.846584
10,Healthy,Gene_354,0.201033
10,Healthy,Gene_366,0.505453
10,Healthy,Gene_367,0.531687
10,Healthy,Gene_482,0.29203
10,Healthy,Gene_521,0.322104
10,Healthy,Gene_588,0.405794
10,Healthy,Gene_607,0.818197
10,Healthy,Gene_646,0.672363
10,Healthy,Gene_650,0.200607
10,Healthy,Gene_781,0.36513
10,Healthy,Gene_816,0.697435
10,Healthy,Gene_818,0.460235
10,Healthy,Gene_84,0.75501
10,Healthy,Gene_850,0.502418
10,Healthy,Gene_916,0.938685
10,Healthy,Gene_969,0.750223
11,AML,Gene_149,0.858009
11,AML,Gene_187,0.850011
11,AML,Gene_244,0.317417
11,AML,Gene_285,0.108612
11,AML,Gene_354,0.823146
11,AML,Gene_366,0.380281
11,AML,Gene_367,0.819552
11,AML,Gene_482,0.696791
11,AML,Gene_521,0.534355
11,AML,Gene_588,0.895685
11,AML,Gene_607,0.652073
11,AML,Gene_646,0.072377
11,AML,Gene_650,0.679655
11,AML,Gene_781,0.959938
11,AML,Gene_816,0.577687
11,AML,Gene_818,0.700409
11,AML,Gene_84,0.496952
11,AML,Gene_850,0.049517
11,AML,Gene_916,0.074369
11,AML,Gene_969,0.657842
12,ALL,Gene_149,0.862464
12,ALL,Gene_187,0.088526
12,ALL,Gene_244,0.425256
12,ALL,Gene_285,0.880016
12,ALL,Gene_354,0.598706
12,ALL,Gene_366,0.729748
12,ALL,Gene_367,0.419774
12,ALL,Gene_482,0.390248
12,ALL,Gene_521,0.686305
12,ALL,Gene_588,0.043186
12,ALL,Gene_607,0.352891
12,ALL,Gene_646,0.098469
12,ALL,Gene_650,0.81513
12,ALL,Gene_781,0.29585
12,ALL,Gene_816,0.51574
